duid,publishdate,sourcename,heading,bodytext
e80ce5be,2020-12-26,The duplicate journal,Djævleøen (København),"ligkistesagen har sit navn efter dens hovedaktør, begravelsesforretningen arbejdernes ligkistemagasiner. sagen, der handler om dokumentfalsk, udspillede sig i 1999-2000.
i et interview i politiken fortæller et forældrepar i december 1999, at deres dødfødte dreng er blevet fjernet fra kapellet på rigshospitalet og begravet af arbejdernes ligkistemagasiner via en dødsanmeldelse med en forfalsket underskrift. det får flere forældrepar til at rette henvendelse. på dette tidspunkt har arbejdernes ligkistemagasiner ikke længere en aftale med københavns kommune om at selskabet skal stå for de omkring 300 begravelser, som kommunen årligt forestår. en sådan aftale har kommunen haft med ligkistemagasinet siden 1978.
i marts 2000 sigtes direktøren for arbejdernes ligkistemagasiner, hans thomsen, for dokumentfalsk og bedrageri. han nægter sig skyldig. det viser sig også, at nogle ansatte i rigshospitalets kapel har været involveret i sagen, og i maj 2000 bortvises to af kapellets medarbejdere efter at det er kommet frem at de har modtaget penge fra arbejdernes ligkistemagasiner. sundhedsborgmesteren i københavns kommune bliver udsat for hårdt politik pres, og han erkender i juni 2000 at han opfattede den licitationsaftale, som kommunen og arbejdernes ligkistemagasiner havde indgået, forkert. i sommeren 2000 bliver direktør hans thomsen afskediget fra arbejdernes ligkistemagasiner, som lukkes 24. august samme år. 
i januar 2001 afslører politiken, at københavns kommune siden 1989 har været vidende om, at der var alvorlige beskyldninger mod arbejdernes ligkistemagasiner i forbindelse med begravelse af spædbørn. i en revisionsrapport retter deloitte & touche i foråret 2001 massiv kritik mod københavns kommunes sundhedsforvaltning. en advokatundersøgelse frikender i oktober samme år seks socialdemokratiske sundhedsborgmestre, deriblandt den daværende peter martinussen, som siden 1980'erne har haft det politiske ansvar for kommunens samarbejde med arbejdernes ligkistemagasiner om begravelse af de borgere, der ikke har nogen pårørende. 
de indledende retsmøder i sagen begynder i januar 2002. i juni 2003 kommer straffesagen mod hans thomsen for københavns byret, hvor han idømmes 10 måneders ubetinget fængsel."
e80ce5bf,2020-12-26,The duplicate journal,Nøkkentved & Friis Jespersen,"nordfronten betegner den del af københavns befæstning, der går fra utterslev mose og nordover, hvor der opførtes en kæde af forter (gladsaxe fort, bagsværd fort, lyngby fort, garderhøj fort og fortun fort).
bag forterne lå en række batterier, der dels skulle beskyde en evt. fjende foran og mellem forterne, dels skulle yde forterne rygdækning (tinghøj, buddinge, vangede, gentofte, bernstorff, ordrup krat og christiansholm).

eksterne henvisninger
nordfronten arkiveret 11. marts 2007 hos  wayback machine
københavns befæstning 1880-1920"
e80ce5c0,2020-12-26,The duplicate journal,København ved Nat,"johannes christensen meller, --1724, stadshauptmand,
magistratspræsident, var oprindelig brygger paa christianshavn som
maaske hans fader (d. 1698) før ham. 1682 blev han en af
kjøbenhavns 32 mænd, 1692 raadmand, 1700 adjungeret og 1701 virkelig
stadshauptmand med oberstlieutenants rang, 1709 justitsraad, 1710
borgmester, 1713 præsident og etatsraad, 1722 konferensraad. ogsaa
uden for sin egentlige embedsgjerning blev m. stærkt benyttet til
offentlige hverv. 1682 blev han værge for den endnu ufuldførte
frelsers kirke, 1697 fik han tilsyn med garnisonskirkens bygning
og var desuden medlem af en mængde kommissioner baade
kommunale, saasom for vand-, brand- og fattigvæsenet, og kongelige,
navnlig de bekjendte vigtige kommissioner i raadstuen foran slottet;
1724 blev han ogsaa kommitteret i politi- og kommercekollegiet.
end videre havde han det brydsomme og uhyggelige hverv at være
medlem af den i anledning af pesten 1711 nedsatte overordentlige
sundhedskommission og omtales ved denne lejlighed af en af sine
kolleger i kommissionen, professor medicinæ hans mule, som «en
meget smuk mand», d. e. en hædersmand.
især er m.s navn dog knyttet til kjøbenhavns borgeres mandige
og patriotiske holdning, da carl xii i avg. 1700 havde gjort
landgang tæt uden for hovedstaden. som bekjendt vare borgerne
meget utilfredse med, at det i kongens fraværelse nedsatte
regeringskollegium, «slotsloven», og navnlig dettes militære medlem,
kommandanten schack, efter deres mening ikke optraadte med
tilbørlig energi, og de gave deres følelser luft i den ene memorial
efter den anden, hvori de tilkjendegave deres villighed til at gjøre
deres yderste for stadens forsvar. m. har formodentlig været en af
lederne af bevægelsen, og da stadshauptmanden niels enevoldsen
var gammel og svag, blev m. efter borgerskabets forlangende
adjungeret denne. han satte strax borgerne i gang med at øve sig
i vaabenbrug og arbejde paa at forstærke fæstningsværkerne. faren
drev dog over den gang og ligeledes senere under den store
nordiske krig, men forholdene vare dog gjentagende ret truende, og
m. maatte da atter træde til, skjønt han 1713, da han blev
præsident, var afgaaet som stadshauptmand. saaledes traadte han i
begyndelsen af 1716, da carl xii atter paatænkte en landgang
paa sjælland, med forskjellige høje land- og søofficerer sammen i
en kommission for at overveje, hvorledes forsvaret bedst skulde
ordnes.
m. havde en stor ejendom paa christianshavn og kjøbte 1714 den nuværende postgaard. han døde 10. okt. 1724 og begravedes
i frelsers kirke ved siden af sin hustru, anna f. hojer, der var
gaaet forud i de sidste dage af 1721.
o. nielsen, kjøbenhavns hist. og beskr. vi.
h. w. harbou."
e80ce5c3,2020-12-26,The duplicate journal,Radiofabrikken Always,"greve adolph sigfried von der osten (21. oktober 1726 – 2. januar 1797) var en dansk diplomat og statsmand af tysk afstamning.
von der osten var søn af gehejmeråd jacob frants von der osten (død 1739). slægten var pommersk; men osten selv var født i danmark og holdt af at lægge dansk nationalfølelse for dagen. christian 6. havde ladet ham studere og rejse udenlands på sin bekostning, og carl adolph von plessen havde taget sig af ham, mens han var ung.

diplomatisk udsending i rusland
oplæring til diplomat
man kan ikke se, at han i sine tidligere år har beklædt andre stillinger end været først hofjunker og siden kammerjunker; men j.h.e. bernstorff må på en eller anden måde have haft lejlighed til at mærke, at han var et godt hoved, der duede til andet og mere. nok er det, at han sendte ham, der ikke før havde været i nogen diplomatisk stilling, til rusland (november 1755), for at han skulle overtage stillingen som statsafsending der, en diplomatplads, som hørte til de allervanskeligste.
ganske vist var den ikke ledig i øjeblikket, den beklædtes af kammerherre johan lotharius friederich von moltzahn; men denne var i høj grad træt af sin virksomhed og attråede bare at blive kaldt hjem, når der kom et passende tidspunkt. så længe indtil det skete, kunne osten under hans vejledning sætte sig ind i de vanskelige forhold, hvormed han ville få at gøre. øjeblikket for ham til at virke selvstændig kom, da moltzahn pludselig døde 31. december 1756.

katharinas fortrolige
osten havde udmærkede egenskaber som diplomat, en hurtig og skarp iagttagelsesevne, i det hele en betydelig intelligens, dertil megen politisk takt og menneskekundskab. for sin gerning følte han levende interesse, og han skrev meget godt for sig. dog passede han i én henseende ikke godt til at optræde ved kejserinde elisabeths hof; han var nemlig en grim mand, og kejserinden, der havde en udpræget sans for mandlig skønhed, havde derfor ingen lyst til at have med ham at gøre. ""jeg har"", ytrede han i den anledning, ""stedse maattet lide under, at vorherre ikke har taget hensyn til kejserindens smag, da han skabte mig."" men heldigvis var der en anden, og det en meget betydelig, dame, som syntes overordentlig godt om ham, nemlig den senere katharina 2., der dengang levede i rusland som storfyrstinde, gift med tronfølgeren, storfyrst carl peter ulrik. hun har åbenbart fundet, at det var en fornøjelse at tale med den kloge og vittige osten.
forholdene vare netop dengang sådanne, at det kunne have værd for en dansk diplomat at stå i et venskabeligt forhold til hende. forsøget på ved en fredelig overenskomst med carl peter ulrik som holstensk hertug at få den gamle strid imellem danmark og gottorp udjævnet var i 1751 slået ganske fejl, og det var vel kendt, at netop storfyrstinden dengang havde virket meget dertil. siden havde underhandlingen omtrent hvilet; men der syntes al grund til at antage, at hun havde skiftet sind med hensyn til denne sag, og i slutningen af 1756 troede regeringen i københavn, at øjeblikket til at genoptage underhandlingen var kommet.

det gottorpske spørgsmål
det blev ved moltzahns død ossten, der fik den opgave at drive denne forhandling; men hvad kunde da være heldigere, end at storfyrstinden personlig havde fattet velvilje for ham? hvor slet end forholdet imellem hende og hendes ægtefælle var, havde hun dog på flere områder stort herredømme over denne, og da han vitterlig hadede danmark af hjertens grund, kunne der trænges til en forbundsfælle, som kunne bekæmpe og måske besejre denne stemning hos ham. snart blev ostens forhold til hende endnu intimere. for at trøste sig i sit ulykkelige ægteskab havde hun begyndt at tage sig elskere, og den, som på denne tid nød hendes gunst, var den senere polske konge stanislav poniatovski, som dengang opholdt sig ved det russiske hof. men kejserinden ville ikke tåle ham længere i rusland, og da han derfor måtte vende tilbage til sit polen, blev det katharina en overordentlig trøst under skilsmissen at føre en levende brevveksling med ham, og den, der nu, ligesom for øvrigt allerede tidligere, var hendes fortrolige i dette forhold og besørgede brevvekslingen imellem hende og den fraværende elsker, var ingen anden end osten. han opførte sig i hele dette forhold med stor takt og forstod med beundringsværdig behændighed at undgå enhver blottelse, hvor stærkt mistanken om, at han var fyrstindens fortrolige, end var rettet imod ham.
samtidig arbejdede han i den gottorpske sag med betydelig udholdenhed og dygtighed på at skaffe den danske opfattelse indgang ved hoffet i sankt petersborg og i regeringskredsene her; men det viste sig stadig umuligt at få bugt med storfyrstens had. det uundgåelige skete, at da elisabeth døde i januar 1762, og carl peter ulrik som kejser under navn af peter 3. blev herre over ruslands hær og flåde, kom vort fædreland til at stå over for en truende krigsfare, der kun afværgedes derved, at katharina styrtede sin ægtefælle fra tronen. men netop nu viste betydningen sig af den tilnærmelse imellem hende og den dansk-norske regering, som ostens personlige forhold til hende havde virket så stærkt til at udvikle. hun lod straks krigen standse og var villig til at forhandle venskabelig med regeringen i københavn.

kortvarigt ophold i polen og fornyet uvilje i rusland
allerede inden krisen i 1762 kom, havde bernstorff imidlertid set sig nødt til at kalde osten bort fra rusland. han havde lagt sig grundig ud med kejserinde elisabeths elsker schuvaloff, og hvor lidt end denne og andre, der ville ham til livs, kunne finde beviser imod ham, var mistanken om hans nære forhold til storfyrstinden blevet så stærk, at han måtte bort. i 1761 var han bleven forflyttet til warzawa. her blev han dog ikke længere end til sommeren 1763, da han vendte tilbage til sin gamle plads i sankt petersborg.
netop dengang havde kejserinde katharina tilbudt ham en høj plads i russisk tjeneste; men han foretrak at vedblive at tjene sit fædreland som diplomat. hans andet ophold i rusland varede indtil november 1765 og omfattede altså det par år, i hvilke forbundet af 11. marts 1765 blev sluttet, dette forbund, der blev grundlaget for mageskiftetraktaterne 1767 og 1773. ham selv bragte dog opholdet kun liden glæde. når han lejlighedsvis mindede om et fransk udsagn, at ingen gør to gange lykke i rusland, kom det til at passe på ham selv. kejserinden, der nu havde glemt poniatovski og kastet sig i armene på en ny elsker, gregorius orloff, følte sig snart trykket ved i osten at have en mand på nært hold, der havde været hendes fortrolige under hendes tidligere elskovsforhold, og han skaffede sig bitre uvenner i de 2 mænd, der på denne tid havde mest at sige med hensyn til ruslands udenrigspolitik, russeren nikita ivanovich panin og holsteneren caspar von saldern.

personlig karakteristik
netop i disse år trådte det stærkt frem, der var ostens forbandelse, at han let vakte mistillid imod sig. sigtelsen for falskhed og underfundighed har lydt fra meget forskellige kanter og fulgt ham igennem en stor del af hans liv. der kan i virkeligheden ikke påvises noget træk fra hans diplomatbane, der sætter en plet på hans karakter, og han har på den fuldt ud gjort sin pligt imod danmark; men en så almindelig dom lyder ikke, uden at der har været nogen grund til den, og det synes umuligt at nægte, at han har haft adskilligt i sig af en intrigant; dertil kom hans skarpe og vittige tunge, ved hvilken han mindst af alt skaffede sig venner; han var tillige mistroisk og, når det kom over ham, alt andet end elskværdig i omgang. var det slemt for ham, at han fik fremmede statsmænd og diplomater til uvenner, var det endnu værre, at mistilliden til ham, for øvrigt, som det synes, uden tilstrækkelig grund, smittede bernstorff. denne førte bag hans ryg brevveksling med den daværende danske legationssekretær i sankt petersborg, peter christian schumacher, og det var for en stor del ad den vej, at den underhandling blev drevet, som havde forbundet af 11. marts 1765 til resultat.

udmærkelser og udsending i napoli
da osten havde forladt sankt petersborg, modtog han som ærestegn både den russiske alexander newsky-orden og den polske stanislaus-orden. disse dekorationer fik han som vidnesbyrd om, at både kejserinden og stanislav poniatovski, der nu var konge i polen, med erkendtlighed mindedes ham som deres tro ven i tidligere tid. kong stanislav føjede et par år derefter den polske greveværdighed til som en ny hædersbevisning (1768). men sådanne venskabstegn formåede ikke at dæmpe den bitterhed, som han følte ved, hvad han havde oplevet i de sidste år. på den skyld, han selv kunne have haft, tænkte han ikke; men han gav bernstorff ansvaret, og han blev fra nu af en bestemt uven af denne. det hjalp ikke, at han (1766) blev ridder af dannebrog.
fra petersborg blev han sendt til napoli for at repræsentere staten her-, han fik nu kun lidt at bestille, men fandt nok at skumle over i italienske forhold. for at han kunne opnå en plads, hvor der var mere brug for hans evner, ville bernstorff sende ham til haag; men inden han kunde komme der hen, blev bernstorff styrtet af johann friedrich struensee (15. september 1770), og der begyndte nu et helt nyt afsnit i ostens liv.

udenrigsminister i struensees regering
da nemlig struensee så nødvendigheden af at have en dygtig og i de diplomatiske forhold kyndig mand i spidsen for de udenrigske sager, tilbød han osten at lede disse. det var imidlertid ikke blot dennes dygtighed, men også hans bekendte vrede imod bernstorff, der anbefalede ham hertil, og det blev i struensees kreds opfattet som et stort held, hvis han kunne vindes for en sådan stilling. osten tog villig imod tilbuddet og kom tilbage til københavn i december 1770. mens tidligere den samme mand stedse havde forenet udenrigsministerens forretninger med det at være præsident i tyske kancelli, blev osten nu udenrigsminister alene (22. december 1770), og den adskillelse af de 2 embeder, der således fandt sted, holdt sig stedse siden. samtidig med at osten blev udenrigsminister, fik han tillige den vellønnede stilling som direktør for øresundstolden.
men hvis han har følt sig stolt og glad ved at få de udenrigske sager i sin hånd, kom han til at mærke, at det ikke var en udelt nydelse på denne tid at være udenrigsminister. selvfølgelig ville struensee ikke give slip på at bestemme den ydre politik, og han søgte at indskrænke ostens virksomhed til at være et slags departementsdirektørs. blandt andet kunne osten ikke mundtlig forhandle med kongen, han måtte indgive sine forestillinger skriftlig til kabinettet og fik resolutionerne sendte fra dette, således som kongen fastsatte dem efter struensees diktat; men dette var alt andet end en forretningsgang efter hans hoved. fremdeles var han og struensee aldeles ikke enige om den politik, der skulle følges.
hvor ilde stemt han end var bleven imod bernstorff, havde han dog gået for meget i dennes skole til at ville slå ind på nogen anden bane end den, hans læremester havde fulgt. ligesom bernstorff holdt han det for nødvendigt at slutte sig nær til rusland, især for at opnå en heldig afslutning af den gamle gottorpske strid, som han selv tidligere havde haft så meget at gøre med; struensee derimod ønskede vistnok ikke noget brud med rusland, men mente, at man alt for stærkt fulgte dets kølvand, blandt andet ved sammen med det at modarbejde, at frihedstidens statsforfatning i sverige ændredes til gavn for kongemagten. det var i længere tid umuligt for osten at overtyde struensee om, at således som sagerne
én gang stod, havde man kun valget imellem at slutte sig stærkt til rusland eller afgjort støde det fra sig og gå glip af det ønskede mageskifte i hertugdømmerne. den eneste tilfredsstillelse, han havde, var undertiden at sige struensee ret drøje spydigheder- denne afholdt sig på sin side ikke fra ved given lejlighed at drive politik på egen hånd uden at sige noget til osten.
men omsider vandt denne sidste dog for så vidt sejr, som struensee så sig nødt til langt mere end tidligere at komme rusland i møde, og et omslag i den danske politik var tydelig ved at finde sted, da struensee blev styrtet.

efter struensee og faldet fra magten
i selve den sammensværgelse, der førte til dennes fald 17. januar 1772, havde osten ikke været deltager, men hans uvilje imod den styrtede magthaver var så bekendt, at han fik sæde i det statsråd, der dannedes 13. februar 1772. mens de, der havde hørt til bernstorffs kreds, havde været glade ved at se osten arbejde for at holde dennes politik oppe, mente de, at han havde skyld i, at bernstorff ikke straks blev kaldt tilbage efter 17. januar, og rimeligvis falder en del af ansvaret for, at dette ikke skete, virkelig på ham. men hans egne dage i den nye regering var snart talte; allerede 13. marts 1773 fjernedes han fra sin udenrigsministerstilling. selv mente han, at han var falden som en følge af private intriger, og han tiltroede blandt andre ove høegh-guldberg, at han havde været med heri; men hovedgrunden var dog den, at hvor ivrig han end i struenseetiden havde været for at følge bernstorffs politik, havde hans gamle modstandere i sankt petersborg dog ikke tiltro til, at rusland i længden kunne stole på ham. fra sin ministerplads blev osten fjernet til at være stiftamtmand i aalborg, hvor han blev til 1781.
det var en svær overgang for ham, der længe havde levet i hoffernes og statsmændenes kredse, nu at blive henvist til en tarvelig jysk købstad; han savnede, som han skrev til en god ven, godt selskab og behagelig omgang; der var nok ""folk til at æde og drikke og spille kort med, men ingen, som man kunde faa en fornøjelig og nyttig konversation med"". da han var ugift, følte han dobbelt savnet heraf. det synes, som om et vist hang til pietisme stærkt har udviklet sig i denne tid hos den forslagne diplomat; men verdens glimmer havde han dog ondt ved at forsage. han attråede at føje den polske hvide ørns dekoration til sine tidligere ordener, og han håbede at opnå det ved den russiske regerings hjælp; men til sin højst ubehagelige overraskelse fik han at vide, at han var så ilde lidt i de høje kredse der ovre, at dette håb måtte opgives. mere tiltalende end at se ham fiske efter fremmede ordener er det at høre, at han i aalborg efterlod sig ""et ærefuldt minde ved stor godgjørenhed og menneskekjærlighed"".
mens hans statsmandsrolle var udspillet for stedse, vedblev han dog at bevare politiske interesser. hans brud med bernstorff havde været bestemmende for hans synsmåde i den følgende tid, og skønt han så at sige var blevet udstødt af statsrådet 1773, havde han dog i den følgende tid nærmest sympati for guldberg og hans meningsfæller. det lønnede sig for ham, for så vidt han, efter 1774 at være bleven gehejmekonferensråd, derefter 1782 opnåede at blive justitiarius i højesteret og 1783 fik elefantordenen. nogle år senere (1788) forflyttedes han til pladsen som overpræsident i københavn, men afgik fra denne 1794, og døde nogle år senere. hvad han havde af formue, omkring 29000 rigsdaler, testamenterede han til sct. hans hospital.


== ekstern henvisning =="
e80ce5d8,2020-12-26,The duplicate journal,Befrielsesdage i København,"forsikringsaktieselskabet nye danske af 1864 var et dansk forsikringsselskab, stiftet 19. april 1864 på initiativ af daværende grosserer, konsul luis bramsen (1819-1886), som var selskabets første direktør. han efterfulgtes i 1886 af sønnen, gehejmeetatsråd og indenrigsminister ludvig bramsen (1847-1914), som i 1914 efterfulgtes af brodersønnen, cand.jur. eigil bramsen (1877-). eigil bramsen fratrådte i 1946, og direktionen bestod i 1950 af evald theodor kjølbye (1884-1955), jens otto sagild (1899-1973) og cand.act. kaj christensen (1902-1984).
det fusionerede i 1973 med danske lloyd a/s og nordisk brandforsikring a/s til nye danske lloyd a/s, der i 1982 indgik i baltica.
selskabet havde til huse i stormgade 2-6 i københavn.

kilder
danmarks ældste forretninger 1100-1911, kraks forlag 1950
hvor blev selskaberne af? arkiveret 14. april 2010 hos  wayback machine"
e80ce5da,2020-12-26,The duplicate journal,Mecobenzon,"nørrebro 1968 er en film instrueret af sune lund-sørensen.

handling
dokumentarisk reportage fra brandkvarteret, da slum på nørrebro i efteråret 1968 blev hærget af en pyroman.

referencer
eksterne henvisninger
nørrebro 1968 på filmdatabasen"
e80ce633,2020-12-26,The duplicate journal,Kender De Københavns Idrætspark?,"mosede fort huser i dag det kulturhistoriske museum mosede fort om danmark i årene 1914-18. 
mosede fort er et kystværk opført ifølge forsvarsloven af 1909 med det formål at bekæmpe landgangsforsøg i køge bugt. fortet, der ligger i mosede i greve kommune, blev påbegyndt i 1913, men var først kampklart i juli 1916 midt under 1. verdenskrig. anlægget blev døbt ""mosede batteri"", men i folkemunde kaldt mosede fort. i modsætning til et fort skyder et batteri kun i én retning – i dette tilfælde ud over bugten.
i 2010 begyndte greve kommune i samarbejde med greve museum, at restaurere og tætne det gamle fort, så det kunne affugtes, så værdifuldt, historisk materiale kunne opbevares på betryggende vis. den 6. august, 2014 indviedes ""mosede fort, danmark 1914-18"" - danmarks første museum om 1.verdenskrig – for at markere 100-årsdagen for de neutralitetspolitiske tiltag i danmark.
tunestillingen, som var et værn mod angreb på københavn sydfra, udgik fra mosede fort og strakte sig mod veddelev nord for roskilde.
i dag er mosede forts område totalfredet og et meget populært og rekreativt område med store græsområder til boldspil og andre fritidsaktiviteter som picnic.

eksterne henvisninger
københavns befæstning arkiveret 11. marts 2007 hos  wayback machine
museet på mosede fort"
e80ce751,2020-12-26,The duplicate journal,Københavnerbilleder,"for alternative betydninger, se trekroner.bryggeriet trekroner var et bryggeri i trekronergade (dengang bryggerivej) i valby etableret 1899.
bryggeriets bygninger fra 1898-99 var tegnet af caspar leuning borch. det er et noget amputeret anlæg, der står tilbage i dag, eftersom kun omkring en tredjedel af den oprindelige bygningsmasse stadig findes.
trekroner blev etableret som hvidtølsbryggeri, men kom aldrig i gang. forskellige stridigheder mellem carlsberg og de forenede bryggerier medførte, at de forenede bryggerier overtog bryghuset, endnu inden det var færdigt, og dernæst anvendte det som maltgøreri. omkring 1915 ophørte forbindelsen til ølbranchen endegyldigt, og bryghuset var i en periode et af valbys fem garverier (ballin & hertz). ombygningen til garveri 1919-20 blev udført af arkitekten niels hauberg.

eksterne henvisninger
""trekronergade og trekroner bryggeriet - valby"" på hjemmesiden clausib.blogspot.dk som omhandler ""valby og københavn, før og nu"" - billeder og beskrivelser af valby mm.""trekroner bryggeri"" arkiveret 15. marts 2016 hos  wayback machine på hjemmesiden anno1900.dk som omhandler arkitektur og byggestil omkring år 1900."
e80ce810,2020-12-26,The duplicate journal,Druknestenen på Åboulevarden,"henrik frederik prætorius (30. marts 1783 i københavn – 24. februar 1862) var en dansk grosserer, bror til jacob christian prætorius.
han var søn af jeppe prætorius, gik i christiani institut og indtog en fremragende plads i handelsverdenen, efter at han 1817 tog grossererborgerskab. 1825-31 og 1839-56 var han medlem af komiteen for grosserer-societetet. 1821 blev han valgt til medlem af stadens 32 mænd, og prætorius valgtes 1827 til repræsentant i nationalbanken og fungerede, medens l.n. hvidt 1848 var minister, som nationalbankdirektør i stedet for denne. ved oprettelsen af københavns borgerrepræsentation 1840 blev han næstformand, hvilket han var til 1841, hvor han forlod forsamlingen, og han deltog i provinsialstændernes møder i begge valgperioder 1842-44, idet han i den første mødte som suppleant, i den anden som deputeret. 1853 udnævntes han til etatsråd, og han var også ridder af dannebrog.

kilder
prætorius, jeppe i dansk biografisk leksikon (1. udgave, bind 13, 1899), forfattet af e. meyer (om faderen)
dansk biografisk leksikons 2. udgave (bind 18, 1940), forfattet af h. jørgensen, og 3. udgave (1979-84, indgår i sde)"
e80ce663,2020-12-26,The duplicate journal,En by ved navn København,"københavns militærhospital beliggende på tagensvej i københavn var et selvstændigt militærsygehus i tiden 1928-1963. i dag bruges bygningerne af professionshøjskolen metropol og rigshospitalet.
hospitalets ældste bygninger i gulsten, opført 1900-1903 ved kaptajn henningsen, er nu nedrevet. dette første hospitalsanlæg var et pavillonhospital, der afløste det forældede garnisonshospital, kaldet grødslottet, i rigensgade. de sidste pavilloner samt kapellet blev revet ned i 2002 for at give plads for en parkeringsplads til biotech research and innovation centre (bric) under københavns universitet. kulturmiljørådet gjorde indsigelse mod planen.
det senere bygningskompleks i rødt murværk, opført 1918-1928 efter tegninger af gunnar laage, eksisterer stadig med enkelte undtagelser. hovedbygningens tag brændte delvist i 2000, men blev genopført. i 2011 flyttede professionshøjskolen metropol ind i bygningerne, der i dag bruges til efter- og videreuddannelse samt administration. 
det brutalistiske reva-center bag hospitalskomplekset er opført 1965 ved arkitekt holger sørensen fra forsvarets bygningstjeneste.
hospitalets etablering blev muliggjort af lov af 17. maj 1916 og lov 81 af 31. marts 1928.
ved bek. 252 af 3. juli 1962 blev militærhospitalet flyttet fra forsvarsministeriet til undervisningsministeriet og underlagdes rigshospitalet pr. 1. april 1963, jf. lov 209 af 31. marts 1963."
e80ce710,2020-12-26,The duplicate journal,Den kongelige Mønt (dokumentarfilm),"""bz"" omdirigeres hertil. for den tyske avis, se b.z.. denne artikel omhandler overvejende eller alene danske forhold. hjælp gerne med at gøre artiklen mere almen.
bz-bevægelsen var en løst sammensat gruppe af unge, der i 1980'erne ulovligt besatte tomme ejendomme dels for at skaffe sig en bolig dels for at føre en ideologisk kamp imod samfundets normer og ejendomsret. bz-bevægelsen var inspireret af lignende grupper i andre lande. forkortelsen bz er en omskrivelse af ordet ""besæt"" . i danmark er bz-bevægelsen afløser for slumstormerne og blev efterfulgt af de autonome.

historie
bz-bevægelsen var inspireret af slumstormer-bevægelsen.
1981 danner en gruppe unge initivgruppen. politiets efterretningstjeneste (pet)'s, overvågning noterer: ""denne havde som et første mål at få københavns kommune til at stille et ungdomshus til rådighed."" 31. oktober 1982 overdrager københavns kommune brugsretten af ejendommen på jagtvej 69 til en ikke nærmere defineret gruppe unge mennesker. det blev starten til ungdomshuset.
fra 1982 ændrede initivgruppen sit navn til bz-brigaden. pet's overvågning konstaterede: ""hvad angik det indholdsmæssige, havde ini’tivgruppen krævet et ungdomshus. bz-brigaden krævede derimod flere og andre ungdomsboliger"".bz-bevægelsen er og har altid været kontroversiel. peter øvig knudsen's bog ""bz - et familiedrama""(2016) noterer om navneskiftet til bz-brigaden: ""navnet giver mindelser om de de røde brigader er ikke tilfældigt"".den 11. januar 1983 rydder og nedriver politiet allotria-huset. det sker i en aktion af semi-militær karakter med cirka 1000 betjente og udstyr fra forsvaret. bz'erne valgte at undgå konfrontation og forlod huset gennem en i hemmelighed gravet tunnel under gaden til en kælderbutik på den anden side af gaden.
“med tunnelen fra allotria undgik bz'erne konfrontationen og vandt mediernes og befolkningens sympati, men de tabte også alle deres huse.”med tabet af alle de besatte huse, der fungerede som både boliger og samlingssteder, valgte en stor del af de oprindelige bz'ere efterfølgende at forlade bevægelsen.
“ifølge pet’s opgørelse omfattede bz-brigaden skønsmæssigt 400 aktive i 1983. i de følgende år reduceredes dette antal imidlertid: i 1984 samlede bevægelsen ifølge pet 100.”3. marts 1983 iværksatte pet en operation under navnet operation hafnia, hvor alle tomme ejendomme i københavn systematisk blev overvåget, så man var opmærksomhed på, hvilke bygninger der kunne blive mål for besættelse. samtidig begyndte man en aflytning og overvågning af personer i bz-miljøet. desuden infiltreredes miljøet med meddelere – man udførte det, pet kalder penetrering.
resultatet blev at husbesættelserne i de følgende år blev færre, mindre … og samtidigt mere kortvarige.
bz-bevægelsen begyndte derfor, at gennemføre forskellige tilbagevendende politiske aktioner i gadebilledet: ”kulørte klat-ugen“, “sorte klat-ugen"", ”kaos-dag”, ”pervers-dag” og ”fattig-dag”. aktionerne havde karakter af en blanding af karneval, gadeteater, politisk aktion, graffiti, rudeknusning og ballade. der var således både lovlige og ulovlige aktiviteter.
politiet holdt aktivisterne ”i kort snor”. det betød at aktivisterne kunne blive anholdt i forbindelse med selv mindre ulovligheder. pet konstaterede at ”de hurtige anholdelser kom som et chok for aktivisterne og var årsag til opløsning af flere af aktionerne”.
1986 stod slaget om ryesgade. ejendommen ryesgade 58 var blevet besat tilbage 1983. men ejeren, boligselskabet ungbo, der havde til opgave at drive ungdomsboliger, havde ikke bedt politiet om at rydde huset. man havde derimod været i dialog bz´erne om en model efter hvilken de kunne blive boende. i september 1986 opgav ungbo derimod at nå til en løsning med bz´erne. man bad politiet om at rydde ejendommen. bz´erne reagerede med en protestdemonstration der udviklede sig til, at de barrikaderede alle gaderne rundt om ejendommen for at holde politiet på afstand. de følgende ni dage var avisernes forsider prydet med billeder af barrikader og konfrontationsberedt bz´ere og politi.
slaget om ryesgade endte med, at bz´erne frivilligt og fredeligt forlod ejendommen.

oversigt over aktioner i danmark
eksterne henvisninger
– opslagsordet bz på leksikon.org
– christianias hjemmeside
– ungdomshusets hjemmeside
- pet's overvågning af protestbevægelser 1945-1989 pet-kommissionens beretning bind 10 8. slumstormere og bz-bevægelse 1965-1989. arkiveret 26. september 2020 hos  wayback machine


== referencer =="
